country,2011,2012,2013,2014,2015,2018,2019,2021,2022,2023
Australia,5.0,3.0,2.0,2.0,2.0,6.0,6.0,6.0,6.0,7.0
Austria,,3.0,2.0,3.0,3.0,,,,,
Belgium,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0
Brazil,,,1.0,1.0,1.0,,,,,
Canada,4.0,8.0,9.0,9.0,10.0,4.0,5.0,5.0,5.0,4.0
Chile,,,,,1.0,,,,,
China,3.0,2.0,3.0,4.0,2.0,2.0,3.0,3.0,6.0,7.0
Colombia,,,,1.0,1.0,,,,,
Denmark,,1.0,,,,,,,1.0,
Finland,,,1.0,,1.0,1.0,1.0,1.0,,
France,3.0,1.0,2.0,2.0,2.0,1.0,2.0,3.0,3.0,4.0
Germany,3.0,7.0,8.0,11.0,9.0,9.0,8.0,8.0,7.0,9.0
Hong Kong,2.0,1.0,1.0,2.0,1.0,3.0,3.0,3.0,4.0,5.0
Iceland,,,1.0,1.0,1.0,,,,,
India,,,2.0,1.0,,,,,,
Iran,,,,1.0,,,,,,
Ireland,2.0,,,,2.0,,,,,
Israel,,1.0,,1.0,2.0,,,,,
Italy,,5.0,3.0,5.0,6.0,,,,,
Japan,2.0,4.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0
Netherlands,,1.0,1.0,1.0,1.0,7.0,7.0,7.0,7.0,7.0
New Zealand,,2.0,2.0,1.0,1.0,,,,,
Norway,,1.0,3.0,2.0,1.0,,,,,
Russian Federation,,,2.0,1.0,,,,,,
Singapore,1.0,,,,1.0,2.0,2.0,2.0,2.0,2.0
South Africa,,2.0,2.0,1.0,1.0,,,,,
South Korea,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0
Spain,,2.0,3.0,2.0,2.0,,,,,
Sweden,2.0,4.0,3.0,2.0,2.0,3.0,3.0,2.0,1.0,1.0
Switzerland,4.0,1.0,1.0,1.0,1.0,3.0,3.0,4.0,3.0,4.0
Taiwan,,2.0,2.0,2.0,1.0,,,,,
Thailand,,,,,,1.0,,,,
Turkey,,1.0,3.0,3.0,1.0,,,,,
United Kingdom,14.0,10.0,8.0,10.0,11.0,12.0,11.0,11.0,11.0,10.0
United States,53.0,35.0,30.0,24.0,27.0,41.0,41.0,40.0,38.0,34.0
